run_id,protocol,model,year,support,observations,unique_target_months,folds,support_start,support_end,mae,rmse,mape_pct,smape_pct,wape_pct,bias_forecast_minus_actual,r2,interval_95_observations,interval_95_coverage,interval_95_mean_width,interval_95_median_width,interval_95_winkler
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,sarima_111_111_12,2015,model_full_evaluable_support,12,12,1,2015-01-01,2015-12-01,446927.24668736715,490237.4213556962,15.812611016711697,14.29554779285182,12.886701424571308,446927.24668736715,0.912610888862604,12,0.9166666666666666,1258405.0053861383,1145158.66047406,1443701.8745376125
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,sarima_111_111_12,2016,model_full_evaluable_support,12,12,1,2016-01-01,2016-12-01,901849.4857115921,1168322.3929917724,29.04013968962386,24.10388465944837,34.503683441481215,901849.4857115921,-0.4525182358268782,12,0.4166666666666667,1089444.3451832123,991586.4848325765,22220994.583202086
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,sarima_111_111_12,2017,model_full_evaluable_support,12,12,1,2017-01-01,2017-12-01,2807919.7929673283,2941456.6375980657,99.6127481237064,151.22929059845828,87.24685336361152,-2807919.7929673283,-2.6058117090268476,12,0.0,2424963.5857047183,2324876.24344455,66242483.59030349
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,sarima_111_111_12,2018,model_full_evaluable_support,12,12,1,2018-01-01,2018-12-01,736261.3479082718,840399.9578341205,26.62111940242146,22.027093971956408,19.363122791820032,736261.3479082718,0.7554532209698952,12,1.0,3368041.5222146977,3277098.096069333,3368041.5222146977
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,sarima_111_111_12,2019,model_full_evaluable_support,12,12,1,2019-01-01,2019-12-01,460064.5850946983,562258.8506002495,16.249779215106457,14.217404796570095,10.645527477853525,309254.62131336605,0.9217552630258146,12,1.0,3304833.9219056927,3222124.0415670415,3304833.9219056927
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,sarima_111_111_12,2020,model_full_evaluable_support,9,9,1,2020-01-01,2020-12-01,3532876.525836963,4104414.8622687976,259.5340096833266,95.36148671959506,200.9058152601041,3532876.525836963,-34.08413178959589,9,0.2222222222222222,3387268.6702891192,3428491.302795712,80529220.06676446
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,sarima_111_111_12,2021,model_full_evaluable_support,12,12,1,2021-01-01,2021-12-01,2480504.2452391624,2681758.996282429,120.14561803829926,170.96967905025235,101.39176856961363,-2480504.2452391624,-1.8538279237700377,12,0.9166666666666666,6810674.877507281,6808245.09033706,7105392.703924806
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,sarima_111_111_12,2022,model_full_evaluable_support,12,12,1,2022-01-01,2022-12-01,1322527.21813518,1486893.9377292169,31.262013078338796,38.181569144888066,30.894740413254024,-1322527.21813518,0.42284044805647825,12,1.0,7706794.406000261,7737336.7311731335,7706794.406000261
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,sarima_111_111_12,2023,model_full_evaluable_support,12,12,1,2023-01-01,2023-12-01,1494540.3166135673,1701277.8774168873,40.64865983831243,31.132161771004323,31.42131832397527,1494540.3166135673,0.2518680134979786,12,1.0,7411333.085707751,7437355.208760805,7411333.085707751
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,sarima_111_111_12,2024,model_full_evaluable_support,12,12,1,2024-01-01,2024-12-01,570598.4312793853,686360.5715685746,14.232176276325967,12.75840704446223,11.002590297232928,443218.90815358167,0.877548885056093,12,1.0,7566465.116044153,7588431.392563876,7566465.116044153
