fold_id,protocol,model,train_start,train_end,test_start,test_end,runtime_seconds,notes,n,mae,rmse,mape,smape,wape,mase,rmsse,r2,bias,seasonal_naive_mae,seasonal_naive_rmse,mae_skill_vs_seasonal_naive,rmse_skill_vs_seasonal_naive,interval_95_coverage,interval_95_mean_width,interval_95_winkler
fixed_12m_2017,fixed_origin_12m_ex_ante,ets_holt_winters,2008-01,2016-12,2017-01,2017-12,0.058365599950775504,,12.0,224431.35439662993,282924.2301661585,6.622161647245886,6.922626650292862,6.9734646681438655,0.8787035721700226,0.6338378850493577,0.9666405847483366,-113575.44926682388,648383.3333333334,858957.2348826997,0.6538600811300467,0.6706189567111627,1.0,2337219.0022322484,2337219.0022322484
fixed_12m_2017,fixed_origin_12m_ex_ante,theta,2008-01,2016-12,2017-01,2017-12,0.019853899953886867,,12.0,196310.87112692036,250025.50706797367,6.429996763936143,6.644200501821306,6.0997133286322995,0.7686050114467613,0.5601345579884993,0.9739476576131935,-64363.816320375285,648383.3333333334,858957.2348826997,0.6972302324341253,0.7089197262514269,1.0,7702719.316150737,7702719.316150737
fixed_12m_2017,fixed_origin_12m_ex_ante,sarima_111_111_12,2008-01,2016-12,2017-01,2017-12,0.07826270000077784,,12.0,650739.9081612924,858309.5605506658,16.70280438394955,18.86638748902075,20.21959796978393,2.547805690484691,1.9228791972238464,0.6929804407782699,-637936.695014676,648383.3333333334,858957.2348826997,-0.0036345394873800174,0.0007540239557122241,0.8333333333333334,2310210.4680082463,4471421.701988093
fixed_12m_2017,fixed_origin_12m_ex_ante,dynamic_harmonic_arima_k2,2008-01,2016-12,2017-01,2017-12,0.019678100012242794,,12.0,503671.006148508,594240.11564328,17.482508534289575,20.055981041544456,15.64991654213282,1.971995015986096,1.3312818696709663,0.8528358328873412,-482302.73380152445,648383.3333333334,858957.2348826997,0.22318946176617538,0.3081842826267943,0.9166666666666666,1834940.0626297507,2854957.2879043366
fixed_12m_2018,fixed_origin_12m_ex_ante,naive_last,2008-01,2017-12,2018-01,2018-12,0.0013834999408572912,,12.0,1800150.0,2447333.4580601533,36.74965114479448,50.65806976987358,47.34259864750836,6.019050751570976,4.8080943876783575,-1.0738445433765516,-1761066.5,584027.25,623652.0213705583,-2.0823048068390646,-2.92419710703705,0.9166666666666666,8476503.065530293,8786365.717406787
fixed_12m_2018,fixed_origin_12m_ex_ante,seasonal_naive,2008-01,2017-12,2018-01,2018-12,0.0037206000415608287,,12.0,584027.25,623652.0213705583,16.31720761127306,17.925356477232516,15.35947987443159,1.9527759675862735,1.2252428347842832,0.8653288490574155,-584027.25,584027.25,623652.0213705583,0.0,0.0,1.0,4838518.405715483,4838518.405715483
fixed_12m_2018,fixed_origin_12m_ex_ante,drift,2008-01,2017-12,2018-01,2018-12,0.0010246000019833446,,12.0,1755686.030812325,2406756.107730438,35.54000612078617,48.781726543684265,46.17322951297664,5.870379314659106,4.7283750794064865,-1.0056450147184481,-1713622.6722689075,584027.25,623652.0213705583,-2.006171425755091,-2.8591330185080954,1.0,14064175.187051453,14064175.187051453
fixed_12m_2018,fixed_origin_12m_ex_ante,same_month_historical_mean,2008-01,2017-12,2018-01,2018-12,0.001741299987770617,,12.0,795515.1500000003,847255.9547200039,22.18645357000094,25.087586627499388,20.921453470245492,2.659915041243007,1.664540885264272,0.7514469121785832,-795515.1500000003,584027.25,623652.0213705583,-0.36211991820587186,-0.35853957926416435,0.6666666666666666,1607368.2242407643,6658973.729302339
fixed_12m_2018,fixed_origin_12m_ex_ante,seasonal_moving_average_3,2008-01,2017-12,2018-01,2018-12,0.0201560000423342,,12.0,702300.4166666666,774060.4709055179,18.29841779511424,20.165756981020944,18.469975699929392,2.348238674980479,1.5207391512697614,0.7925374637987534,-702300.4166666666,584027.25,623652.0213705583,-0.20251309620684066,-0.2411736743904349,0.5833333333333334,1771070.6072180215,4810403.324845621
fixed_12m_2018,fixed_origin_12m_ex_ante,ets_holt_winters,2008-01,2017-12,2018-01,2018-12,0.05121569999027997,,12.0,331624.57776073297,431959.2397411427,7.403477075160948,7.784233612441298,8.72147836934467,1.1088326883927158,0.8486382554306379,0.9353936152541532,-331624.57776073297,584027.25,623652.0213705583,0.43217619081860825,0.3073713786866996,1.0,2326596.2614238616,2326596.2614238616
